Job Title,Company,Location,Summary,Posting_Date,Salary,Rating,Extract_Date,Job_Url
".css-jspxzf{box-sizing:border-box;margin:0;min-width:0;-webkit-text-decoration:none;text-decoration:none;color:inherit!important;position:static;}.css-jspxzf:active,.css-jspxzf:visited,.css-jspxzf:hover,.css-jspxzf:focus{-webkit-text-decoration:none;text-decoration:none;color:inherit;}.css-jspxzf:focus-visible{outline:none;}.css-jspxzf::after{content:"""";position:absolute;left:0;top:0;right:0;bottom:0;}AI/ML Solution Analyst",Number Theory Software Pvt.Ltd,"Gurgaon, Haryana","Support Customer data science teams in developing AI/ML solutions using Newgen AI Cloud Platform.
Understanding customer business and requirements.",EmployerActive 4 days ago,"₹6,50,000 a year",,05-07-22,https://www.indeed.com/company/Number-Theory-Software-Pvt.Ltd/jobs/Ai-Ml-Solution-Analyst-594aed22d130dbda?fccid=a24822a7e88d96c3&vjs=3
Data Analyst (Junior),FENG GROUP,+1 locationRemote,"Strong logical abilities in the field of data manipulation data warehousing and using scripting programming languages such as Python or Javascript, machine…",Posted24 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=7b8f87b065f3ded7&fccid=dd616958bd9ddc12&vjs=3
Business Analyst,MakeMyTrip.com,"Gurgaon, Haryana","3 to 6 years of relevant experience in a business analyst/data analyst/statistical analysis role.
Fulfilment teams to understand, organize and present data.",EmployerActive 6 days ago,"₹10,00,000 - ₹13,00,000 a year",4.0,05-07-22,https://www.indeed.com/company/MakeMyTrip.com/jobs/Business-Analyst-706811b55e73c2ac?fccid=a1032ac404ecbf0b&vjs=3
Data Analyst,Ericsson,"Gurgaon, Haryana","Perform data analysis and visualization.
Provide functional process and data expertise.
The Business Analytics Specialist applies his/her business knowledge and…",Posted17 days ago,,4.1,05-07-22,https://www.indeed.com/rc/clk?jk=4bc94942ed6db66f&fccid=82656d64a9a3e6a7&vjs=3
Operations Analyst,Glaucus Supply Chain Solutions Private Limited,"Remote in Chhattarpur, Delhi, Delhi","Experience in data analysis and reporting.
Monitor progress on current processes (on the metrics of the baseline set) & suggest improvements (process…",EmployerActive 11 days ago,"₹4,00,000 - ₹6,00,000 a year",,05-07-22,https://www.indeed.com/company/Glaucus-Supply-Chain-Solutions-Private-Limited/jobs/Operation-Analyst-3c3c61779e8b44e4?fccid=d6b5a521928654fb&vjs=3
Business Analyst,Gigmos Solutions Pvt Ltd,"Delhi, Delhi","Responsible for deliverables such as functional specifications, use cases, user stories, workflow/process diagrams, data flow/data model diagrams.",EmployerActive 4 days ago,"₹6,00,000 - ₹18,00,000 a year",,05-07-22,https://www.indeed.com/company/Gigmo-Solutions-Pvt-Ltd./jobs/Business-Analyst-da7456252ac7a5cc?fccid=3bc22e3422bc09b7&vjs=3
Data Analyst,Otipy,"Gurgaon, Haryana","Create processes and methods to gather data.
Analyze data to identify issues and suggest improvements.
Identify cost-effective delivery modes and schedules.",Posted12 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=d21d89ab5ea594c5&fccid=231f97b87bd1ffbb&vjs=3
Data Analyst,Surgical Notes RCM LLC,"Noida, Uttar Pradesh","Leverage data from Salesforce and other reporting platforms to analyze data and convert information into insight.
Speaking and listening on a telephone.",Posted3 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=0b0868866e6ca52b&fccid=42a1a3f0a8b554b7&vjs=3
Data Analyst,International Water Association,"Chennai, Tamil Nadu","Ability to learn complex processes related to data.
Ensure timely and accurate update of all master data records.
Accountable for the quality and accuracy.",EmployerActive 15 days ago,"₹6,00,000 - ₹9,00,000 a year",,05-07-22,https://www.indeed.com/company/International-Water-Association/jobs/Data-Analyst-777a85cee8b23bf7?fccid=c733001d7ce068dc&vjs=3
Data Analyst Trainee,RBHU ETG Private Limited,"Navi Mumbai, Maharashtra","Create data governance policies like RLS to manage data security.
Python/R for data science.
Access data stored in databases/warehouses/flat files.",EmployerActive 3 days ago,"₹4,18,000 - ₹5,00,000 a year",,05-07-22,https://www.indeed.com/company/RBHU-ETG-Private-Limited/jobs/Data-Analyst-Trainee-98c6510d9a965de4?fccid=20f3451d17d09a1c&vjs=3
"Lead Analyst, Data Management Quant Analysis",BNY Mellon,"Pune, Maharashtra","Prior experience and knowledge of data visualization tools i.e. Power BI and Tableau is preferred.
Candidate should be able to aggregate, interpret complex data…",EmployerActive 2 days ago,"₹3,99,497 - ₹15,73,362 a year",3.5,05-07-22,https://www.indeed.com/company/BNY-Mellon/jobs/Lead-Analyst-4c0e3d5a67795791?fccid=b4048be2884af072&vjs=3
Data Analyst,Travitons Technologies Pvt Ltd,"Pune, Maharashtra","Performing and documenting data analysis, data validation, and data mapping/design.
Creating tools to store data within the organization.",Posted4 days ago,"₹50,000 - ₹1,50,000 a month",,05-07-22,https://www.indeed.com/company/Travitons-Technologies-Pvt-Ltd/jobs/Data-Analyst-0cc2ebdbcc58360e?fccid=8a48d18f38d019fa&vjs=3
Data Analyst,Study Group,"Noida, Uttar Pradesh","Expertise in reporting and data visualisation.
Study Group processes your information in line with data protection regulations.
Expert skills in Power BI.",Posted28 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=37ec355a24bbaea8&fccid=d0d30499c8b16494&vjs=3
Business Analyst,MedTourEasy,"Delhi, Delhi","Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.
Define reporting and alerting requirements.",Posted30+ days ago,"₹12,55,000 - ₹15,25,000 a year",,05-07-22,https://www.indeed.com/company/MedTourEasy/jobs/Business-Analyst-8c42ade427bfe1a3?fccid=aa170b94b6f3f104&vjs=3
